inputNeurons,outputNeurons,numHiddLayers,numNeurons,learningRate,epochs,r2Score,mse,loss,batchSize,runTime
9,1,3,60,0.001,null,0.5224580849905733,1378670.625,1378670.625,null,null
9,1,3,60,0.001,null,0.5257134415978171,1369272.5,1369272.5,null,null
9,1,3,90,0.001,null,0.5221642067798711,1379519.375,1379519.375,null,null
9,1,3,90,0.1,null,0.536118535916375,1339232.75,1339232.75,null,null
9,1,2,20,0.01,null,0.5452655491813911,1312825.5,1312825.5,null,null
9,1,2,20,0.01,null,0.5973866557567786,1162350.875,1162350.875,null,null
9,1,2,20,0.01,null,0.605102394929411,1140075.5,1140075.5,null,null
9,1,2,20,0.01,null,0.5973555281881406,1162440.625,1162440.625,null,null
9,1,2,20,0.001,null,0.6085251820091658,1130193.75,1130193.75,null,null
9,1,2,20,0.001,null,0.6001244814899142,1154446.75,1154446.75,null,null
9,1,2,20,0.001,1000,0.6106496349617001,1124060.375,1124060.375,32,171.50261187553406
9,1,2,20,0.001,2000,0.6108381882793035,1123515.875,1123515.875,32,330.5718457698822
9,1,2,20,0.001,5000,0.6099984350412532,1125940.375,1125940.375,32,877.7470242977142
9,1,2,20,0.1,null,0.6066851787112522,1135505.75,1135505.75,128,63.96771717071533
9,1,2,20,0.001,500,0.5326567232841724,1349227.0,1349227.0,256,48.239161014556885
9,1,2,20,0.001,500,0.5737704464450399,1230531.25,1230531.25,8,268.64369320869446
9,1,2,20,0.001,10,0.35422580180232976,1864360.125,1864360.125,8,6.788188934326172
9,1,2,32,0.001,2000,0.6056982411678028,1138355.25,1138355.25,32,335.67559599876404
9,1,4,20,0.001,2000,0.5883910275996491,1188321.25,1188321.25,32,379.63469791412354
9,1,2,64,0.001,2000,0.6029085922666135,1146409.125,1146409.125,16,681.3546419143677
9,1,2,18,0.1,2000,0.5785327686445492,1216782.375,1216782.375,32,335.46250081062317
9,1,2,20,0.001,2000,0.5967239232149166,1164264.25,1164264.25,4,2296.258087873459
9,1,2,20,0.0001,2000,0.21080315524457538,2278423.0,2278423.0,512,84.7424750328064
9,1,2,20,0.0001,10000,0.5278787701343319,1363021.125,1363021.125,512,451.48366808891296
9,1,2,20,0.001,2000,0.6046199762981743,1141468.375,1141468.375,32,343.1776509284973
35,1,2,35,0.001,100,0.5341452022814276,0.010327385738492012,0.010327385738492012,32,17.824261903762817
35,1,3,70,0.1,100,-0.06456089026495726,0.023599913343787193,0.023599913343787193,4,112.91059732437134
35,1,2,70,0.001,100,0.5286148684984526,0.010449988767504692,0.010449988767504692,128,8.106742143630981
35,1,2,70,0.001,100,0.5494571361460323,0.009987941011786461,0.009987941011786461,128,7.66431999206543
35,1,2,70,0.0001,100,0.5838576561377522,0.009225326590240002,0.009225326590240002,64,11.4269278049469
35,1,2,100,0.0001,100,0.574009943045231,0.009443637914955616,0.009443637914955616,64,11.584269762039185
35,1,2,70,0.0001,100,0.5776891399288624,0.4204089045524597,0.4204089045524597,32,17.85243320465088
35,1,2,80,0.0001,100,0.5787235740089125,0.41937920451164246,0.41937920451164246,32,19.03670310974121
35,1,2,26,0.001,100,0.5300685458806738,0.4678151607513428,0.4678151607513428,32,18.36126399040222
35,1,2,60,0.001,100,0.4409097204798571,0.5565723776817322,0.5565723776817322,32,17.440273761749268
26,1,2,60,0.001,100,0.4810566782260496,0.011504290625452995,0.011504290625452995,32,18.538616180419922
35,1,2,35,0.001,100,0.5302957887471694,0.010412722826004028,0.010412722826004028,32,17.043134927749634
35,1,2,70,0.001,500,0.10791768896186904,0.01977628841996193,0.01977628841996193,32,98.79095125198364
36,1,2,64,0.001,100,0.4990131574876646,0.01110621728003025,0.01110621728003025,32,17.51101016998291
10,1,2,128,0.001,100,0.6054311887181174,0.008747068233788013,0.008747068233788013,32,17.292487859725952
10,1,2,128,0.001,800,0.5851374488185714,0.00919695571064949,0.00919695571064949,32,132.22843623161316
10,1,2,20,0.001,800,0.5902588169980223,0.009083421900868416,0.009083421900868416,16,237.42433190345764
20,1,2,40,0.001,400,0.5875557358871273,0.009143345057964325,0.009143345057964325,32,64.81693601608276
20,1,4,80,0.001,400,0.555531314202367,0.009853282943367958,0.009853282943367958,32,70.38956499099731
20,1,2,80,0.001,400,0.5774050217675406,0.009368373081088066,0.009368373081088066,32,64.8341281414032
30,1,2,80,0.001,400,0.44368973686457513,0.012332664802670479,0.012332664802670479,32,69.287437915802
30,1,2,80,0.001,400,0.5912234600369606,0.00906203780323267,0.009698208421468735,32,64.52980303764343
30,1,2,80,0.001,400,0.5413473608372947,0.010167719796299934,0.011419311165809631,32,66.13897705078125
30,1,2,80,0.001,800,0.5299808516056712,0.010419704020023346,0.011599861085414886,32,133.00118923187256
30,1,3,60,0.001,400,0.5534014840591146,0.009900500066578388,0.010936073958873749,64,44.46044301986694
30,1,3,60,0.001,1000,0.4792313183674307,0.011544754728674889,0.01282003428786993,32,173.5930449962616
30,1,2,60,0.001,500,0.5490452922529767,0.009661640040576458,0.010909289121627808,32,87.27570009231567
15,1,2,80,0.001,800,0.5623180846148472,0.009702830575406551,0.010681518353521824,32,141.3217351436615
15,1,2,30,0.0001,1000,0.5640063346830311,0.009665404446423054,0.010252709500491619,8,636.2463009357452
