inputNeurons,outputNeurons,numHiddLayers,numNeurons,learningRate,epochs,r2Score,mse,loss,batchSize,runTime
9,1,3,60,0.001,null,0.5224580849905733,1378670.625,1378670.625,null,null
9,1,3,60,0.001,null,0.5257134415978171,1369272.5,1369272.5,null,null
9,1,3,90,0.001,null,0.5221642067798711,1379519.375,1379519.375,null,null
9,1,3,90,0.1,null,0.536118535916375,1339232.75,1339232.75,null,null
9,1,2,20,0.01,null,0.5452655491813911,1312825.5,1312825.5,null,null
9,1,2,20,0.01,null,0.5973866557567786,1162350.875,1162350.875,null,null
9,1,2,20,0.01,null,0.605102394929411,1140075.5,1140075.5,null,null
9,1,2,20,0.01,null,0.5973555281881406,1162440.625,1162440.625,null,null
9,1,2,20,0.001,null,0.6085251820091658,1130193.75,1130193.75,null,null
9,1,2,20,0.001,null,0.6001244814899142,1154446.75,1154446.75,null,null
9,1,2,20,0.001,1000,0.6106496349617001,1124060.375,1124060.375,32,171.50261187553406
9,1,2,20,0.001,2000,0.6108381882793035,1123515.875,1123515.875,32,330.5718457698822
9,1,2,20,0.001,5000,0.6099984350412532,1125940.375,1125940.375,32,877.7470242977142
9,1,2,20,0.1,null,0.6066851787112522,1135505.75,1135505.75,128,63.96771717071533
9,1,2,20,0.001,500,0.5326567232841724,1349227.0,1349227.0,256,48.239161014556885
9,1,2,20,0.001,500,0.5737704464450399,1230531.25,1230531.25,8,268.64369320869446
9,1,2,20,0.001,10,0.35422580180232976,1864360.125,1864360.125,8,6.788188934326172
9,1,2,32,0.001,2000,0.6056982411678028,1138355.25,1138355.25,32,335.67559599876404
9,1,4,20,0.001,2000,0.5883910275996491,1188321.25,1188321.25,32,379.63469791412354
