publish_date,headline_text
20030219,israeli forces push into gaza strip
20030220,packer hands in licence as pistol investigation
20030301,sculpture exhibition revealed in tasmania
20030301,sydneys gay mardi gras kicks off
20030303,car theft sparks internal police probe
20030304,disappointment over juvenile crime meeting
20030306,record number of candidates running in nsw poll
20030307,farming heroes inducted into agricultural hall of
20030308,engineers still working on bogged jumbo
20030311,incentives lure scallop ranching project
20030319,public urged to back australian troops
20030324,us helicopter crashes in afghanistan six dead
20030326,blair to focus on post war iraq in us meetings
20030326,figures highlight single parent family statistics
20030327,bus crashes and burns in kyrgyzstan killing 17
20030331,emergency crews search for scouts
20030331,uk ministers condemn cooks withdrawal push
20030402,call for govts to compromise on jetty extension
20030406,hawks tigers kangaroos join weekend winners
20030408,detective stood down over corruption
20030411,ags agree to double jeopardy law review
20030419,body recovered after boating accident
20030424,native title claim covers three pastoral stations
20030425,troops back from iraq to join anzac parade
20030426,us to take hard look at north korea nuclear claims
20030501,olonga praises hero hussain report
20030502,wfp docks major rice shipment in iraq
20030511,man to front court after man killed in phone booth
20030512,time frame change to murray flows decision
20030520,howard lauds e timors progress
20030524,afl plans museum for melbourne
20030531,poulter edges ahead in wales
20030601,opp bumper stickers drive scoresby message home
20030601,plenty for everyone at woomera sale
20030602,inland rail chief challenges deputy pm
20030610,abc former olympian settle damages from defamation
20030612,earthquake felt in tuggeranong
20030616,assistance sought by police after priest bashing
20030617,party heavyweights undermining me burke
20030623,police probe house blaze
20030625,cane farmers use report in push for support
20030628,south pacific games under way in fiji
20030703,police investigate missing berrima prison funds
20030705,bartlett says christmas is not ready for asylum
20030710,blues continue origin preparations in forster
20030710,camel trekker peels into orange
20030712,failure to reveal iraq intelligence not unusual
20030717,police probe machete attack
20030721,goondiwindi hostel to close
20030722,solomons militants warned to accept aust force
20030724,washington sends mixed signals over iraqi foreign
20030726,man undergoes emergency surgery
20030726,ullrich taunts armstrong before tour time test
20030727,rspca finds claim for tortured brumbies outrageous
20030730,no end in sight for public health funding feud
20030731,inquiry to consider problem gambling woes
20030731,level crossing changes for central aust
20030802,us troops kill four in afghan gunbattle
20030804,states stand by stamp duty in housing review
20030807,charities taking on bigger workload
20030808,committee examines sustainable housing
20030812,ads would compromise abc alp
20030815,pacific forum leaders sign off on solomons force
20030820,workers sift through baghdad wreckage
20030821,lomu refusing to give up on world cup dream manager
20030827,us court sentences colombian drug lord
20030829,lions lose pike mcrae to injury
20030830,ac milan win european super cup
20030831,vic nt qld sign onto health funding agreement
20030902,australia france teams to beat at world cup all
20030903,airline to push for more public service bookings
20030915,deal struck on new adelaide terminal
20030915,fed govt to pressure private funds on non medical
20030915,rfs keeps close eye on clarence bushfires
20030916,png urged to break cycle of dependence
20030917,more us soldiers wounded in iraq
20030922,dollar hits two month high
20031009,workers seek pay lift as dispute escalates
20031010,asthma deaths down but better treatment needed
20031012,surfers commemorate bali at sea
20031014,tas economic boom leaves poor behind
20031015,gold coast tourism slump bucks trends
20031023,60 countries to discuss iraqi aid
20031024,bush visits pearl harbour
20031024,wa irrigator welcomes review
20031028,outrage at prisoners ping pong payout
20031029,riverland wine investors to vote on fund wind up
20031101,three killed in separate car crashes in nsw
20031103,vic govt cracks down on money launderers
20031106,police question men over sydney shootings
20031107,uk moves to protect titanic wreck
20031112,downer checks on asylum request
20031114,amwu wins national support for protest action
20031117,png scotches deputy pms media plan
20031129,us space agency not worried by space station noise
20031130,sudan suspends newspaper saying it fails national
20031203,gp return visits on the rise
20031204,new food act developed in the nt
20031205,farina slams oceania play off plans
20031206,vic to spend 18m on eureka party
20031208,doubt cast over future higher education funds
20031208,more funds for cqu in higher education reform deal
20031209,police winning gun crime battle carr
20031210,williams factor may offer lift buchanan
20031211,landcare efforts pay off for southern wa farmer
20031212,japan asean nations end meeting
20031214,yemen foils attacks on british embassy
20031216,mackay council trial fuels call for ethanol pledge
20031217,broken hill preparing for big festival
20031218,sudan confiscates al jazeera equipment
20031222,timber compo snub worries nationals
20031223,union to monitor parmalat probe
20031227,old convent gets new calling as brothel in portugal
20031227,thai pm vows to end student clashes after deaths
20031231,lee gillespie back in one day squad
20040106,gibbs kallis centuries put proteas in control
20040106,sweeter grape harvest predicted for 2004
20040106,sydney public hospitals cant cope say libs
20040109,kings back in nbl top spot
20040109,us keeps ban on silicone breast implant sales
20040114,call for hunter police numbers boost
20040115,try hicks at home latham
20040116,central aust warned of rotavirus outbreak
20040116,hackers target png server
20040128,call for an end to crocodile hunting
20040128,mcenroe confident of davis cup success
20040130,man arrested over shooting spree
20040208,japanese soldiers arrive in iraq
20040220,baisya and rafique lift bangladesh
20040221,extinction rates the focus of un conference
20040224,asx down for third straight day
20040225,scientist says brown cloud spreads beyond asia
20040304,grafton jail teachers consider joining strike
20040308,driver interviewed over ambulance accident
20040310,deployment of australia police to png hits snag
20040316,northern tourist attractions secure funds
20040317,green not underestimating sullivan
20040318,new software seeks out chatroom paedophiles
20040318,yeppoon part of sea change trend
20040319,court makes record medical negligence payout
20040325,cliches to be honest with you drive us mad
20040325,court hears evidence in hotel theft trial
20040325,govt keeps heat on alp over iraq pullout
20040325,uq to increase hecs fees
20040326,race day breaks records again
20040326,tight security in place for bahrain gp
20040402,growers happy with eased water restrictions
20040402,orange forum grills bulldogs players
20040404,blues overcome slow start to down cats
20040405,govt conservationists welcome tree clearing fine
20040405,man helping police with inquiries after drug lab
20040407,beattie accused of grandstanding over tugun
20040408,geraldton operator seeks daily flight to perth
20040409,broncos roll roosters
20040410,act authorities issue deadly mushroom warning
